00:22:72|american micro-fuel device corp.
50:2a:7e|smart electronic gmbh
5c:87:78|cybertelbridge co.,ltd
38:bb:23|ozvision america llc
0c:84:11|a.o. smith water products
e0:ab:fe|orb networks, inc.
44:83:12|star-net
a0:5d:e7|directv, inc.
08:76:18|vie technologies sdn. bhd.
d0:e4:0b|wearable inc.
74:7e:1a|red embedded design limited
14:a8:6b|shenzhen telacom science&technology co., ltd
0c:c3:a7|meritec
dc:e2:ac|lumens digital optics inc.
98:d8:8c|nortel networks
78:19:2e|nascent technology
48:eb:30|eterna technology, inc.
4c:32:2d|teledata networks
ac:86:7e|create new technology (hk) limited company
8c:59:8b|c technologies ab
d4:4c:a7|informtekhnika & communication, llc
a8:c2:22|tm-research inc.
00:3d:41|hatteland computer as
cc:50:76|ocom communications, inc.
4c:c4:52|shang hai tyd. electon technology ltd.
7c:cb:0d|antaira technologies, llc
c0:1e:9b|pixavi as
80:3b:9a|ghe-ces electronic ag
74:32:56|nt-ware systemprg gmbh
c4:e1:7c|u2s co.
20:bf:db|dvl
20:41:5a|smarteh d.o.o.
a4:da:3f|bionics corp.
a0:40:25|actioncable, inc.
4c:4b:68|mobile device, inc. 
20:12:57|most lucky trading ltd
e8:da:aa|videohome technology corp.
64:7d:81|yokota industrial co,.ltd
7c:cf:cf|shanghai seari intelligent system co., ltd
68:aa:d2|datecs ltd.,
a4:de:50|total walther gmbh
1c:f0:61|scaps gmbh
a8:93:e6|jiangxi jinggangshan cking communication technology co.,ltd
c4:aa:a1|summit development, spol.s r.o.
30:32:d4|hanilstm co., ltd.
e0:64:bb|digiview s.r.l.
dc:33:50|techsat gmbh
f0:bc:c8|maxid (pty) ltd
24:82:8a|prowave technologies ltd.
68:cc:9c|mine site technologies
14:6e:0a|private
0c:e7:09|fox crypto b.v.
b4:b5:af|minsung electronics
04:b3:b6|seamap (uk) ltd
00:27:0b|adura technologies
00:27:0d|cisco systems, inc
00:27:1b|alec sicherheitssysteme gmbh
00:27:18|suzhou new seaunion video technology co.,ltd
6c:0f:6a|jdc tech co., ltd.
04:b4:66|bsp co., ltd.
d8:d6:7e|gsk cnc equipment co.,ltd
00:26:ae|wireless measurement ltd
00:26:b1|navis auto motive systems, inc.
00:26:aa|kenmec mechanical engineering co., ltd.
00:26:d2|pcube systems, inc.
00:26:cd|purplecomm, inc.
00:27:07|lift complex ds, jsc
00:26:d7|km electornic technology co., ltd.
00:26:d0|semihalf
00:26:fe|mkd technology inc.
00:26:a0|moblic
00:26:e5|aeg power solutions
00:26:e3|dti
00:26:bc|general jack technology ltd.
00:26:96|noolix co., ltd
00:26:9a|carina system co., ltd.
00:26:95|zt group int'l inc
00:26:93|qvidium technologies, inc.
00:26:65|protectedlogic corporation
00:26:60|logiways
00:26:70|cinch connectors
00:26:71|autovision co., ltd
00:26:48|emitech corp.
00:26:45|circontrol s.a.
00:26:3e|trapeze networks
00:26:3c|bachmann technology gmbh & co. kg
00:26:3d|mia corporation
00:26:78|logic instrument sa
00:26:77|deif a/s
00:26:8e|alta solutions, inc.
00:26:88|juniper networks
00:25:da|secura key
00:25:db|ati electronics(shenzhen) co., ltd
00:25:d5|robonica (pty) ltd
00:25:e2|everspring industry co., ltd.
00:25:e1|shanghai seeyoo electronic & technology co., ltd
00:26:0e|ablaze systems, llc
00:26:10|apacewave technologies
00:26:0d|mercury systems, inc.
00:26:0a|cisco systems, inc
00:26:32|instrumentation technologies d.d.
00:26:2e|chengdu jiuzhou electronic technology inc
00:26:2c|ikt advanced technologies s.r.o.
00:26:29|juphoon system software inc.
00:26:25|mediasputnik
00:26:26|geophysical survey systems, inc.
00:25:cc|mobile communications korea incorporated
00:25:f9|gmk electronic design gmbh
00:25:f7|ansaldo sts usa
00:26:1b|laurel bank machines co., ltd.
00:26:14|ktnf
00:26:03|shenzhen wistar technology co., ltd
00:25:a6|central network solution co., ltd.
00:25:aa|beijing soul technology co.,ltd.
00:25:88|genie industries, inc.
00:25:80|equipson s.a.
00:25:bd|italdata ingegneria dell'idea s.p.a.
00:25:b7|costar  electronics, inc.,
00:25:7d|pointred telecom private ltd.
00:25:a2|alta definicion linceo s.l.
00:25:6d|broadband forum
00:25:6c|azimut production association jsc
00:25:63|luxtera inc
00:25:93|datnet informatikai kft.
00:25:8e|the weather channel
00:25:a3|trimax wireless, inc.
00:25:9c|cisco-linksys, llc
00:25:c8|s-access gmbh
00:25:c0|zilliontv corporation
00:25:1b|philips careservant
00:25:18|power plus communications ag
00:25:15|sfr
00:25:0d|gzt telkom-telmor sp. z o.o.
00:25:0e|gt german telematics gmbh
00:25:31|cloud engines, inc.
00:25:2d|kiryung electronics
00:25:45|cisco systems, inc
00:25:42|pittasoft
00:25:36|oki electric industry co., ltd.
00:25:41|maquet critical care ab
00:25:2b|stirling energy systems
00:25:24|lightcomm technology co., ltd
00:25:4e|vertex wireless co., ltd.
00:25:46|cisco systems, inc
00:25:22|asrock incorporation
00:25:60|ibridge networks & communications ltd.
00:24:b8|free alliance sdn bhd
00:24:b3|graf-syteco gmbh & co. kg
00:24:f6|miyoshi electronics corporation
00:24:f0|seanodes
00:24:cb|autonet mobile
00:24:d1|thomson inc.
00:24:c9|broadband solutions group
00:24:ca|tobii technology ab
00:25:08|maquet cardiopulmonary ag
00:24:fc|quopin co., ltd.
00:24:fb|private
00:24:fa|hilger u. kern gmbh
00:24:d0|shenzhen sogood industry co.,ltd.
00:24:cc|fascinations toys and gifts, inc.
00:24:c7|mobilarm ltd
00:24:df|digitalbox europe gmbh
00:24:45|adtran inc
00:24:3f|storwize, inc.
00:24:97|cisco systems, inc
00:24:a3|sonim technologies inc
00:24:aa|dycor technologies ltd.
00:24:a9|ag leader technology
00:24:a6|telestar digital gmbh
00:24:9b|action star enterprise co., ltd.
00:24:71|fusion multisystems dba fusion-io
00:24:74|autronica fire and securirty
00:24:46|mmb research inc.
00:24:63|phybridge inc
00:24:72|redriven power inc.
00:24:1c|fugang electronic (dg) co.,ltd
00:24:19|private
00:24:15|magnetic autocontrol gmbh
00:23:e7|hinke a/s
00:23:e2|sea signalisation
00:24:25|shenzhenshi chuangzhicheng technology co.,ltd
00:24:27|ssi computer corp
00:24:11|pharmasmart llc
00:24:0f|ishii tool & engineering corporation
00:23:fa|rg nets, inc.
00:23:f2|tvlogic
00:24:0a|us beverage net
00:24:07|telem sas
00:24:40|halo monitoring, inc.
00:23:cf|cummins-allison corp.
00:23:c2|samsung electronics. co. ltd
00:23:c4|lux lumen
00:23:c5|radiation safety and control services inc
00:23:c6|smc corporation
00:23:88|v.t. telematica s.p.a.
00:23:83|inmage systems inc
00:23:81|lengda technology(xiamen) co.,ltd.
00:23:bf|mainpine, inc.
00:23:b2|intelligent mechatronic systems inc
00:23:b5|ortana ltd
00:23:b9|airbus defence and space deutschland gmbh
00:23:bd|digital ally, inc.
00:23:c9|sichuan tianyi information science & technology stock co.,ltd
00:23:ce|kita denshi corporation
00:23:a9|beijing detianquan electromechanical equipment co., ltd
00:23:9b|elster solutions, llc
00:23:7b|whdi llc
00:23:24|g-pro computer
00:23:e0|ino therapeutics llc
00:23:90|algolware corporation
00:23:11|gloscom co., ltd.
00:23:09|janam technologies llc
00:23:04|cisco systems, inc
00:23:5d|cisco systems, inc
00:23:5c|aprius, inc.
00:23:52|datasensor s.p.a.
00:23:2f|advanced card systems ltd.
00:23:53|f e t elettronica snc
00:23:42|coffee equipment company
00:23:37|global star solutions ulc
00:23:19|sielox llc
00:23:6a|smartrg inc
00:23:31|nintendo co., ltd.
00:23:35|linkflex co.,ltd
00:23:25|iolan holding
00:23:21|avitech international corp
00:23:70|snell
00:22:b9|analogix seminconductor, inc
00:22:b8|norcott
00:22:b7|gss grundig sat-systems gmbh
00:22:b3|sei s.p.a.
00:22:9c|verismo networks inc
00:22:9a|lastar, inc.
00:22:ee|algo communication products ltd
00:22:ea|rustelcom inc.
00:22:f0|3 greens aviation limited
00:22:ec|idealbt technology corporation
00:22:dd|protecta electronics ltd
00:22:ab|shenzhen turbosight technology ltd
00:22:9b|averlogic technologies, inc.
00:22:be|cisco systems, inc
00:22:bf|sieamp group of companies
00:22:db|translogic corporation
00:22:da|anatek, llc
00:22:f9|pollin electronic gmbh
00:22:c5|inforson co,ltd.
00:22:62|bep marine
00:22:6a|honeywell
00:22:63|koos technical services, inc.
00:22:6c|linksprite technologies, inc.
00:22:5c|multimedia & communication technology
00:22:84|desay a&v science and technology co.,ltd
00:22:86|astron
00:22:82|8086 consultancy
00:22:46|evoc intelligent technology co.,ltd.
00:22:48|microsoft corporation
00:22:90|cisco systems, inc
00:22:8a|teratronik elektronische systeme gmbh
00:22:8e|tv-numeric
00:22:54|bigelow aerospace
00:22:57|3com europe ltd
00:22:76|triple eye b.v.
00:22:74|familyphone ab
00:22:36|vector sp. z o.o.
00:22:30|futurelogic inc.
00:22:2e|maintech gmbh
00:22:14|rinnai korea
00:22:0b|national source coding center
00:22:0c|cisco systems, inc
00:21:ea|bystronic laser ag
00:21:fd|lacroix traffic s.a.u
00:21:cd|livetv
00:21:d0|global display solutions spa
00:22:28|breeze innovations ltd.
00:22:29|compumedics ltd
00:22:16|shibaura vending machine corporation
00:21:e1|nortel networks
00:22:00|ibm corp
00:21:c6|csj global, inc.
00:21:c3|cornell communications, inc.
00:21:c7|russound
00:21:c1|abb oy / medium voltage products
00:21:c0|mobile appliance, inc.
00:21:bb|riken keiki co., ltd.
00:21:66|novatel inc.
00:21:64|special design bureau for seismic instrumentation
00:21:60|hidea solutions co. ltd.
00:21:b1|digital solutions ltd
00:21:b0|tyco telecommunications
00:21:ad|nordic id oy
00:21:7f|intraco technology pte ltd
00:21:7d|pyxis s.r.l.
00:21:6f|symcom, inc.
00:21:a3|micromint
00:21:a5|erlphase power technologies ltd.
00:21:9d|adesys bv
00:21:95|gwd media limited
00:21:88|emc corporation
00:21:1a|lintech corporation
00:21:16|transcon electronic systems, spol. s r. o.
00:21:15|phywe systeme gmbh & co. kg
00:21:41|radlive
00:21:40|en technologies inc.
00:21:3d|cermetek microelectronics, inc.
00:21:11|uniphone inc.
00:21:14|hylab technology inc.
00:21:32|masterclock, inc.
00:21:31|blynke inc.
00:21:29|cisco-linksys, llc
00:21:1d|dataline ab
00:21:20|sequel technologies
00:21:52|general satellite research & development limited
00:21:58|style flying technology co.
00:21:48|kaco solar korea
00:21:3c|aliphcom
00:1f:b5|i/o interconnect inc.
00:1f:e7|simet
00:1f:db|network supply corp.,
00:1f:bf|fulhua microelectronics corp. taiwan branch
00:1f:be|shenzhen mopnet industrial co.,ltd
00:1f:c2|jow tong technology co ltd
00:1f:d2|commtech technology macao commercial offshore ltd.
00:1f:b8|universal remote control, inc.
00:1f:d4|4ipnet, inc.
00:1f:cb|niw solutions
00:1f:f7|nakajima all precision co., ltd.
00:1f:eb|trio datacom pty ltd
00:1f:69|pingood technology co., ltd.
00:1f:4d|segnetics llc
00:1f:81|accel semiconductor corp
00:1f:83|teleplan technology services sdn bhd
00:1f:9b|posbro
00:1f:78|blue fox porini textile
00:1f:68|martinsson elektronik ab
00:1f:63|jsc goodwin-europa
00:1f:ad|brown innovations, inc
00:1f:a6|stilo srl
00:1f:97|bertana srl
00:1f:8c|ccs inc.
00:1f:10|toledo do brasil industria de balancas  ltda
00:1f:0f|select engineered systems
00:1f:02|pixelmetrix corporation pte ltd
00:1e:fe|level s.r.o.
00:1f:1a|prominvest
00:1f:18|hakusan.mfg.co,.ltd
00:1f:13|s.& a.s. ltd.
00:1f:25|mbs gmbh
00:1f:27|cisco systems, inc
00:1f:26|cisco systems, inc
00:1e:ef|cantronic international limited
00:1e:de|byd company limited
00:1e:dd|wasko s.a.
00:1e:db|giken trastem co., ltd.
00:1f:42|etherstack plc
00:1f:35|air802 llc
00:1f:34|lung hwa electronics co., ltd.
00:1e:eb|talk-a-phone co.
00:1e:6a|beijing bluexon technology co.,ltd
00:1e:66|resol elektronische regelungen gmbh
00:1e:63|vibro-meter sa
00:1e:7f|cbm of america
00:1e:82|sandisk corporation
00:1e:b1|cryptsoft pty ltd
00:1e:af|ophir optronics ltd
00:1e:ad|wingtech group limited
00:1e:d1|keyprocessor b.v.
00:1e:d0|ingespace
00:1e:8e|hunkeler ag
00:1e:87|realease limited
00:1e:cd|kyland technology co. ltd
00:1e:bf|haas automation inc.
00:1e:bc|wintech automation co.,ltd.
00:1e:6f|magna-power electronics, inc.
00:1e:a1|brunata a/s
00:1e:53|further tech co., ltd
00:1e:4e|dako edv-ingenieur- und systemhaus gmbh
00:1e:49|cisco systems, inc
00:1e:28|lumexis corporation
00:1e:24|zhejiang bell technology co.,ltd
00:1e:20|intertain inc.
00:1e:1c|sws australia pty limited
00:1e:12|ecolab
00:1e:16|keytronix
00:1e:32|zensys
00:1e:35|nintendo co., ltd.
00:1e:2b|radio systems design, inc.
00:1e:42|teltonika
00:1e:08|centec networks inc
00:1d:fb|netcleus systems corporation
00:1d:b9|wellspring wireless
00:1d:bb|dynamic system electronics corp.
00:1d:b3|hpn supply chain
00:1d:b1|crescendo networks
00:1d:b4|kumho eng co.,ltd
00:1d:a4|hangzhou system technology co., ltd
00:1d:9f|matt   r.p.traczynscy sp.j.
00:1d:90|emco flow systems
00:1d:93|modacom
00:1d:94|climax technology co., ltd
00:1d:8e|alereon, inc.
00:1d:db|c-bel corporation
00:1d:e6|cisco systems, inc
00:1d:e7|marine sonic technology, ltd.
00:1d:7b|ice energy, inc.
00:1d:6c|clariphy communications, inc.
00:1d:c5|beijing jiaxun feihong electricial co., ltd.
00:1d:c6|snr inc.
00:1d:84|gateway, inc.
00:1d:85|call direct cellular solutions
00:1d:bf|radiient technologies, inc.
00:1d:34|syris technology corp
00:1d:32|longkay communication & technology (shanghai) co. ltd
00:1d:2a|shenzhen bul-tech co.,ltd.
00:1d:2d|pylone, inc.
00:1d:5d|control dynamics pty. ltd.
00:1d:59|mitra energy & infrastructure
00:1d:2b|wuhan pont technology co. , ltd
00:1d:22|foss analytical a/s
00:1d:23|sensus 
00:1d:3e|saka techno science co.,ltd
00:1d:40|intel – ge care innovations llc
00:1d:57|caetec messtechnik
00:1d:51|babcock & wilcox power generation group, inc
00:1d:4c|alcatel-lucent
00:1d:1a|ovislink s.a.
00:1c:b7|usc digiark corporation
00:1c:af|plato networks inc.
00:1c:b1|cisco systems, inc
00:1c:fe|quartics inc
00:1d:0b|power standards lab
00:1d:02|cybertech telecom development
00:1c:e9|galaxy technology limited
00:1c:ea|scientific-atlanta, inc
00:1c:e7|rocon plc research centre
00:1c:db|carpoint co.,ltd
00:1c:d5|zeevee, inc.
00:1c:bc|castgrabber, llc
00:1c:e4|elesy jsc
00:1c:e2|attero tech, llc.
00:1c:aa|bellon pty ltd
00:1c:a0|production resource group, llc
00:1c:d3|zp engineering sel
00:1c:cb|forth corporation public company limited
00:1c:75|segnet ltd.
00:1c:74|syswan technologies inc.
00:1c:68|anhui sun create electronics co., ltd
00:1c:66|ucamp co.,ltd
00:1c:98|lucky technology (hk) company limited
00:1c:81|nextgen venturi ltd
00:1c:7a|perfectone netware company ltd
00:1c:53|synergy lighting controls
00:1c:4d|aplix ip holdings corporation
00:1c:92|tervela
00:1c:8a|cirrascale corporation
00:1c:38|bio-rad laboratories, inc.
00:1c:30|mode lighting (uk ) ltd.
00:1c:2e|hpn supply chain
00:1c:2a|envisacor technologies inc.
00:1c:02|pano logic
00:1c:05|nonin medical inc.
00:1c:06|siemens numerical control ltd., nanjing
00:1b:ea|nintendo co., ltd.
00:1b:e5|802automation limited
00:1b:e4|townet srl
00:1c:04|airgain, inc.
00:1c:01|abb oy drives
00:1b:ff|millennia media inc.
00:1b:f2|kworld computer co., ltd
00:1b:f0|value platforms limited
00:1c:1b|hyperstone gmbh
00:1c:10|cisco-linksys, llc
00:1b:d2|ultra-x asia pacific inc.
00:1b:8d|electronic computer systems, inc.
00:1b:86|bosch access systems gmbh
00:1b:c2|integrated control technology limitied
00:1b:bb|rftech co.,ltd
00:1b:aa|xenics nv
00:1b:7c|a & r cambridge
00:1b:5d|vololink pty ltd
00:1b:5a|apollo imaging technologies, inc.
00:1b:56|tehuti networks ltd.
00:1b:c6|strato rechenzentrum ag
00:1b:c4|ultratec, inc.
00:1b:a1|Åmic ab
00:1b:96|general sensing
00:1a:ea|radio terminal systems pty ltd
00:1a:dd|pepwave ltd
00:1a:d6|jiagnsu aetna electric co.,ltd
00:1a:d4|ipox technology co., ltd.
00:1b:14|carex lighting equipment factory
00:1b:15|voxtel, inc.
00:1b:09|matrix telecom pvt. ltd.
00:1b:03|action technology (sz) co., ltd
00:1a:fb|joby inc.
00:1a:fd|evolis
00:1b:1e|hart communication foundation
00:1b:4c|signtech
00:1a:d5|kmc chain industrial co., ltd.
00:1a:d0|albis technologies ag
00:1a:d3|vamp ltd.
00:1a:d8|alsteraero gmbh
00:1a:da|biz-2-me inc.
00:1a:6f|mi.tel s.r.l.
00:1a:71|diostech co., ltd.
00:1a:69|wuhan yangtze optical technology co.,ltd.
00:1a:67|infinite ql sdn bhd
00:1a:c3|scientific-atlanta, inc
00:1a:bf|trumpf laser marking systems ag
00:1a:b8|anseri corporation
00:1a:bc|u4ea technologies ltd
00:1a:cb|autocom products ltd
00:1a:cf|c.t. elettronica
00:1a:a3|delorme
00:1a:9b|adec & parter ag
00:1a:9d|skipper wireless, inc.
00:1a:85|nv michel van de wiele
00:1a:8e|3way networks ltd
00:1a:44|jwtrading co., ltd
00:1a:49|micro vision co.,ltd
00:1a:3d|ajin vision co.,ltd
00:1a:41|inocova co.,ltd
00:1a:33|asi communications, inc.
00:1a:23|ice qube, inc
00:1a:1d|pchome online inc.
00:1a:17|teak technologies, inc.
00:1a:1c|gt&t engineering pte ltd
00:1a:1f|coastal environmental systems
00:1a:64|ibm corp
00:1a:51|alfred mann foundation
00:1a:55|aca-digital corporation
00:19:e6|toyo medic co.,ltd.
00:19:e2|juniper networks
00:19:e8|cisco systems, inc
00:19:df|thomson inc.
00:19:dd|fei-zyfer, inc.
00:19:b2|xynetsoft co.,ltd
00:19:a4|austar technology (hang zhou) co.,ltd
00:19:aa|cisco systems, inc
00:19:b1|arrow7 corporation
00:19:b3|stanford research systems
00:1a:0a|adaptive micro-ware inc.
00:1a:05|optibase ltd
00:19:d4|icx technologies
00:19:cf|salicru, s.a.
00:19:fc|pt. ufoakses sukses luarbiasa
00:19:f4|convergens oy ltd
00:19:96|turbochef technologies inc.
00:19:97|soft device sdn bhd
00:19:98|sato corporation
00:19:9c|ctring
00:19:46|cianet industria e comercio s/a
00:19:49|tentel  comtech co., ltd.
00:19:44|fossil partners, l.p.
00:19:71|guangzhou unicomp technology co.,ltd
00:19:64|doorking inc.
00:19:76|xipher technologies, llc
00:19:6c|etrovision technology
00:19:67|teldat sp.j.
00:19:52|acogito co., ltd
00:19:8b|novera optics korea, inc.
00:19:61|blaupunkt  embedded systems gmbh
00:19:42|on software international limited
00:19:3f|rdi technology(shenzhen) co.,ltd
00:19:41|pitney bowes, inc
00:18:fd|optimal technologies international inc.
00:18:f0|joytoto co., ltd.
00:18:e9|numata corporation
00:19:08|duaxes corporation
00:19:0c|encore electronics, inc.
00:19:19|astel inc.
00:19:2d|nokia corporation
00:18:ef|escape communications, inc.
00:18:e6|computer hardware design sia
00:19:30|cisco systems, inc
00:19:27|imcosys ltd
00:18:f7|kameleon technologies
00:18:88|gotive a.s.
00:18:8a|infinova llc
00:18:86|el-tech, inc.
00:18:87|metasystem spa
00:18:be|ansa corporation
00:18:ba|cisco systems, inc
00:18:b4|dawon media inc.
00:18:b6|s3c, inc.
00:18:a3|zippy technology corp.
00:18:a0|cierma ascenseurs
00:18:93|shenzhen photon broadband technology co.,ltd
00:18:b1|ibm corp
00:18:7b|4nsys co. ltd.
00:18:7f|zodianet
00:18:7e|rgb spectrum
00:18:9d|navcast inc.
00:18:d6|swirlnet a/s
00:18:cd|erae electronics industry co., ltd
00:18:db|epl technology ltd
00:18:c8|isonas inc.
00:18:49|nvent, schroff gmbh
00:18:46|crypto s.a.
00:18:45|pulsar-telecom llc.
00:18:1e|gdx technologies ltd.
00:18:1c|exterity limited
00:18:63|veritech electronics limited
00:18:5a|ucontrol, inc.
00:18:52|storlink semiconductors, inc.
00:18:50|secfone kft
00:18:58|tagmaster ab
00:18:24|kimaldi electronics, s.l.
00:18:3d|vertex link corporation
00:18:25|private
00:18:79|dsys
00:18:03|arcsoft shanghai co. ltd
00:17:ef|ibm corp
00:17:f5|lig neoptek
00:17:cd|cec wireless r&d ltd.
00:17:d0|opticom communications, llc
00:17:c6|cross match technologies inc
00:17:fe|talos system inc.
00:17:f8|motech industries inc.
00:17:c3|ktf technologies inc.
00:17:b7|tonze technology co.
00:17:ab|nintendo co., ltd.
00:18:07|fanstel corp.
00:18:08|sightlogix, inc.
00:17:ce|screen service spa
00:17:db|canko technologies inc.
00:17:d6|bluechips microhouse co.,ltd.
00:17:87|brother, brother & sons aps
00:17:89|zenitron corporation
00:17:60|naito densei machida mfg.co.,ltd
00:17:61|private
00:17:68|zinwave ltd
00:17:69|cymphonix corp
00:17:62|solar technology, inc.
00:17:8f|ningbo yidong electronic co.,ltd.
00:17:94|cisco systems, inc
00:17:8a|darts technologies corp.
00:17:34|adc telecommunications
00:17:2e|fxc inc.
00:17:2b|global technologies inc.
00:17:72|astro strobel kommunikationssysteme gmbh
00:17:3e|leucotronequipamentos ltda.
00:17:98|azonic technology co., ltd
00:17:47|trimble
00:17:7a|assa abloy ab
00:16:f4|eidicom co., ltd.
00:16:e7|dynamix promotions limited
00:16:e5|fordley development limited
00:16:e6|giga-byte technology co.,ltd.
00:17:20|image sensing systems, inc.
00:17:1a|winegard company
00:16:c8|cisco systems, inc
00:16:c4|sirf technology, inc.
00:16:f3|cast information co., ltd
00:16:f5|dalian golden hualu digital technology co.,ltd
00:16:f1|omnisense, llc
00:16:dd|gigabeam corporation
00:17:1c|nt microsystems, inc.
00:17:16|qno technology inc.
00:17:26|m2c electronic technology ltd.
00:17:21|fitre s.p.a.
00:16:f9|cetrta pot, d.o.o., kranj
00:17:0a|inew digital company
00:16:bd|ati industrial automation
00:16:c0|semtech corporation
00:16:c2|avtec systems inc
00:16:ba|weathernews inc.
00:16:b2|drivecam inc
00:16:b3|photonicbridges (china) co., ltd.
00:16:ad|bt-links company limited
00:16:6e|arbitron inc.
00:16:af|shenzhen union networks equipment co.,ltd.
00:16:9e|tv one ltd
00:16:6a|tps
00:16:63|kbt mobile
00:16:9f|vimtron electronics co., ltd.
00:16:9a|quadrics ltd
00:16:92|scientific-atlanta, inc.
00:16:91|moser-baer ag
00:16:88|serverengines llc
00:16:8b|paralan corporation
00:16:0a|sweex europe bv
00:16:02|ceyon technology co.,ltd.
00:16:00|cellebrite mobile synchronization
00:15:f4|eventide
00:16:29|nivus gmbh
00:16:21|colorado vnet
00:16:1a|dametric ab
00:16:15|nittan company, limited
00:16:17|msi
00:16:2e|space shuttle hi-tech co., ltd.
00:16:2a|antik computers & communications s.r.o.
00:16:56|nintendo co., ltd.
00:16:51|exeo systems
00:16:10|carina technology
00:16:06|ideal industries
00:16:07|curves international inc.
00:16:54|flex-p industries sdn. bhd.
00:16:31|xteam
00:16:4b|quorion data systems gmbh
00:15:94|bixolon co.,ltd
00:15:90|hectronic gmbh
00:15:8c|liab aps
00:15:8f|ntt advanced technology corporation
00:15:ed|fulcrum microsystems, inc.
00:15:f0|ego bv
00:15:ee|omnex control systems
00:15:c8|flexipanel ltd
00:15:c0|digital telemedia co.,ltd.
00:15:c2|3m germany
00:15:88|salutica allied solutions sdn bhd
00:15:83|ivt corporation
00:15:85|aonvision technolopy corp.
00:15:a5|dci co., ltd.
00:15:b2|advanced industrial computer, inc.
00:15:da|iritel a.d.
00:15:4a|wanshih electronic co., ltd
00:15:4c|saunders electronics
00:15:4d|netronome systems, inc.
00:15:49|dixtal biomedica ind. com. ltda
00:15:3d|elim product co.
00:15:44|com.s.a.t. ag
00:15:39|technodrive srl
00:15:31|kocom
00:15:35|ote spa
00:15:36|powertech co.,ltd
00:15:2b|cisco systems, inc
00:15:2c|cisco systems, inc
00:15:28|beacon medical products llc d.b.a. beaconmedaes
00:15:27|balboa instruments
00:15:21|horoquartz
00:15:20|radiocrafts as
00:15:66|a-first technology co., ltd.
00:15:6b|perfisans networks corp.
00:15:47|aizen solutions inc.
00:15:79|lunatone industrielle elektronik gmbh
00:14:d7|datastore technology corp
00:14:dd|covergence inc.
00:14:d4|k technology corporation
00:14:cf|invisio communications
00:14:be|wink communication technology co.ltd
00:15:11|data center systems
00:15:0e|openbrain technologies co., ltd.
00:15:0d|hoana medical, inc.
00:15:1c|leneco
00:15:19|storeage networking technologies
00:15:06|neo photonics
00:15:04|game plus co., ltd.
00:15:05|actiontec electronics, inc
00:14:fe|artech electronics
00:14:de|sage instruments inc.
00:14:df|hi-p tech corporation
00:14:e6|aim infrarotmodule gmbh
00:14:f3|vixs systems inc
00:14:7e|innerwireless
00:14:7d|aeon digital international
00:14:76|multicom industries limited
00:14:73|bookham inc
00:14:89|b15402100 - jandei, s.l.
00:14:80|hitachi-lg data storage korea, inc
00:14:b6|enswer technology inc.
00:14:b2|mcubelogics corporation
00:14:ae|wizlogics co., ltd.
00:14:a6|teranetics, inc.
00:14:69|cisco systems, inc
00:14:ba|carvers sa de cv
00:14:8a|elin ebg traction gmbh
00:14:6e|h. stoll gmbh & co. kg
00:14:aa|ashly audio, inc.
00:14:09|magneti marelli   s.e. s.p.a.
00:14:0b|first international computer, inc.
00:13:fd|nokia danmark a/s
00:14:00|minerva korea co., ltd
00:13:fc|sicortex, inc
00:13:f6|cintech
00:14:4f|oracle corporation 
00:14:56|edge products
00:14:50|heim systems gmbh
00:14:52|calculex,inc.
00:14:42|atto corporation
00:14:47|boaz inc.
00:14:3e|airlink communications, inc.
00:14:5d|wj communications, inc.
00:14:3b|sensovation ag
00:14:2d|toradex ag
00:14:29|v center technologies co., ltd.
00:14:14|jumpnode systems llc.
00:14:1e|p.a. semi, inc.
00:13:cb|zenitel norway as
00:13:cf|4access communications
00:13:be|virtual conexions
00:13:b9|bm spa
00:13:ab|telemotive ag
00:13:c9|beyond achieve enterprises ltd.
00:13:c6|opengear, inc
00:13:f3|giga-byte communications inc.
00:13:f4|psitek (pty) ltd
00:13:ac|sunmyung electronics co., ltd
00:13:a8|tanisys technology
00:13:da|diskware co., ltd
00:13:d8|princeton instruments
00:13:99|stac corporation.
00:13:e9|veriwave, inc.
00:13:56|flir radiation inc
00:13:5a|project t&e limited
00:13:61|biospace co., ltd.
00:13:62|shinheung precision co., ltd.
00:13:4f|rapidus wireless networks inc.
00:13:78|qsan technology, inc.
00:13:7a|netvox technology co., ltd.
00:13:81|chips & systems, inc.
00:13:79|ponder information industries ltd.
00:13:2c|maz brandenburg gmbh
00:13:24|schneider electric ultra terminal
00:13:26|ecm systems ltd
00:13:27|data acquisitions limited
00:13:67|narayon. co., ltd.
00:13:5c|onsite systems, inc.
00:13:5f|cisco systems, inc
00:13:3b|speed dragon multimedia limited
00:13:38|fresenius-vial
00:13:2d|iwise communications
00:13:74|atheros communications, inc.
00:13:69|honda electron co., led.
00:13:42|vision research, inc.
00:13:40|ad.el s.r.l.
00:13:0c|hf system corporation
00:13:0f|egemen bilgisayar muh san ve tic ltd sti
00:13:13|guangzhou post & telecom equipment ltd
00:12:cb|css inc.
00:12:ce|advanced cybernetics group
00:12:ca|mechatronic brick aps
00:12:c7|securay technologies ltd.co.
00:12:cd|asem spa
00:12:e8|fraunhofer ims
00:12:dd|shengqu information technology (shanghai) co., ltd.
00:13:1d|scanvaegt international a/s
00:13:18|dgstation co., ltd.
00:13:1a|cisco systems, inc
00:12:f4|belco international co.,ltd.
00:12:f5|imarda new zealand limited
